,Topic,Human-like Prompt,filename,index
66,Array Formulas,Sum product but not regular.,Niche_Unclear_Excel_Prompts,0
43,Automation and Macros,"Can I assign a macro to a button for quick execution? If yes, how?",Excel_Help_Prompts,1
59,Automation and Macros,Can I automate a process to email a report daily using VBA?,Excel_Help_Prompts,2
42,Automation and Macros,How do I record a macro to automate data entry for a specific template?,Excel_Help_Prompts,3
44,Automation and Macros,How to write a simple VBA script to display a message box with 'Hello World'?,Excel_Help_Prompts,4
83,Automation and Macros,Can I create a VBA script to sort data in ascending order in column A every time the sheet opens?,Excel_Help_Prompts_Additional,5
99,Automation and Macros,Can you show me how to create a custom user form in VBA to input data into a table?,Excel_Help_Prompts_Additional,6
84,Automation and Macros,How do I debug a macro that stops executing halfway through?,Excel_Help_Prompts_Additional,7
82,Automation and Macros,What is the process for recording a macro to format a selected range as a table?,Excel_Help_Prompts_Additional,8
16,Automation and Macros,"Hello, I need to automate a process. I have a report that I generate every day. I want Excel to automatically apply filters, hide certain columns, and format the remaining data as a table. Can I record a macro for this, or do I need to write VBA code?",Excel_Specific_Problems_Prompts,9
29,Automation and Macros,"Hey, I want to create a button in my Excel sheet that automatically clears all the data from specific cells but keeps the formatting intact. Can you guide me on how to write a macro for this?",Excel_Specific_Problems_Prompts,10
17,Automation and Macros,"Hi! I’ve written a macro that processes a dataset, but it occasionally crashes and shows a runtime error. It’s hard to figure out where the issue is. How can I debug this macro and make sure it runs smoothly every time?",Excel_Specific_Problems_Prompts,11
6,Automation and Macros,Button for daily report.,Revised_Short_Conversational_Excel_Prompts,12
36,Calculations and Formulas,Can you show me an example of the IF function to return 'Yes' if A1 is greater than 50?,Excel_Help_Prompts,13
35,Calculations and Formulas,How do I use VLOOKUP to find values in the range A2:A10 based on column B?,Excel_Help_Prompts,14
37,Calculations and Formulas,How to calculate the compound interest using the FV function?,Excel_Help_Prompts,15
34,Calculations and Formulas,What formula can I use to calculate the total sales in column C?,Excel_Help_Prompts,16
57,Calculations and Formulas,What is the difference between INDEX and MATCH and how can I use them together?,Excel_Help_Prompts,17
76,Calculations and Formulas,Can I use the AND function with IF to return 'Pass' if column A is above 50 and column B is below 100?,Excel_Help_Prompts_Additional,18
75,Calculations and Formulas,"How can I calculate the average of cells in A1:A10, excluding blank cells?",Excel_Help_Prompts_Additional,19
77,Calculations and Formulas,How do I create an array formula to multiply values in columns A and B and sum the results?,Excel_Help_Prompts_Additional,20
97,Calculations and Formulas,What is the correct formula to calculate the internal rate of return (IRR) for cash flows in column B?,Excel_Help_Prompts_Additional,21
74,Calculations and Formulas,What is the formula to calculate the monthly payment for a loan using the PMT function?,Excel_Help_Prompts_Additional,22
27,Calculations and Formulas,"Hello! I have a column with dates and another column with expenses. I want to calculate the total expenses for a specific month, like January 2024. Is there a formula I can use to filter the data and sum only the relevant rows?",Excel_Specific_Problems_Prompts,23
13,Calculations and Formulas,"Hi there! I’m stuck with a problem. I have two columns, one with product names and another with sales figures. I want to find the top 3 products by sales. Can I use a formula to achieve this or do I need to sort the data manually every time?",Excel_Specific_Problems_Prompts,24
12,Calculations and Formulas,"Hi, I’m trying to create a formula that calculates the bonus for employees. If their sales in column B are greater than $10,000, they get 5% of their sales as a bonus, otherwise, it should display 'No Bonus'. Can you help me write this formula?",Excel_Specific_Problems_Prompts,25
9,Calculations and Formulas,Nested IF function help.,Revised_Short_Conversational_Excel_Prompts,26
2,Calculations and Formulas,Sum only visible rows.,Revised_Short_Conversational_Excel_Prompts,27
5,Charts and Graphs,Best chart for comparing profits.,Revised_Short_Conversational_Excel_Prompts,28
50,Collaboration,How can I track changes made by different users in a shared workbook?,Excel_Help_Prompts,29
